epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,302.605,1.40709,1.25208,1.24689,0.62759,0.68833,0.66181,0.3569,1.31995,1.21288,1.34128,0.00150197,0.00150197,0.00150197
7,613,1.33009,1.10306,1.17634,0.64264,0.73422,0.70945,0.39151,1.37618,1.06011,1.28639,0.00146896,0.00146896,0.00146896
8,106.644,1.30055,1.08742,1.15244,0.63193,0.66067,0.66972,0.36832,1.47238,1.24162,1.31115,0.00143595,0.00143595,0.00143595
9,192.598,1.23219,0.93553,1.07002,0.60989,0.63545,0.63158,0.35285,1.34249,1.16182,1.21277,0.00140295,0.00140295,0.00140295
10,288.619,1.29909,1.00342,1.11344,0.58919,0.77662,0.68209,0.37298,1.37728,1.07584,1.23412,0.00136994,0.00136994,0.00136994
11,386.92,1.29077,0.94724,1.11357,0.60383,0.70828,0.69096,0.39461,1.38061,0.96384,1.2482,0.00133693,0.00133693,0.00133693
12,496.116,1.28188,0.95852,1.11361,0.64907,0.71589,0.71647,0.38107,1.49375,1.00674,1.34241,0.00130393,0.00130393,0.00130393
13,594.743,1.28333,0.9384,1.09975,0.73235,0.64628,0.70924,0.40419,1.47463,0.95423,1.3547,0.00127092,0.00127092,0.00127092
14,692.114,1.26471,0.90806,1.0966,0.61492,0.69934,0.68953,0.38803,1.53068,1.0407,1.35078,0.00123791,0.00123791,0.00123791
15,784.502,1.22358,0.87081,1.08117,0.65475,0.71691,0.68974,0.39706,1.341,1.0013,1.23506,0.00120491,0.00120491,0.00120491
16,875.388,1.24728,0.88912,1.09561,0.56367,0.71627,0.61341,0.33194,1.58465,1.32709,1.3577,0.0011719,0.0011719,0.0011719
17,974.884,1.22144,0.80661,1.08446,0.74371,0.72589,0.7333,0.41107,1.30241,0.90541,1.20325,0.00113889,0.00113889,0.00113889
18,1069.99,1.17187,0.79671,1.06767,0.67613,0.71224,0.73173,0.41307,1.40167,1.00954,1.26077,0.00110589,0.00110589,0.00110589
19,1163.47,1.20129,0.78051,1.07871,0.7398,0.72742,0.75426,0.43396,1.37304,0.88025,1.2707,0.00107288,0.00107288,0.00107288
20,1255.82,1.16594,0.74291,1.06699,0.62241,0.74916,0.72228,0.42284,1.40245,0.94971,1.24663,0.00103987,0.00103987,0.00103987
21,1342.52,1.14589,0.75537,1.05473,0.733,0.70358,0.7534,0.42925,1.52595,0.90735,1.41034,0.00100687,0.00100687,0.00100687
22,1433.44,1.13791,0.73915,1.04963,0.72149,0.78307,0.77585,0.42723,1.48316,0.92288,1.33772,0.000973861,0.000973861,0.000973861
23,1523.27,1.09922,0.70794,1.08671,0.81052,0.65063,0.74241,0.44008,1.29723,0.87253,1.23276,0.000940855,0.000940855,0.000940855
24,1621.74,1.09935,0.69249,1.03247,0.68175,0.76766,0.76406,0.4422,1.53508,0.94706,1.42807,0.000907848,0.000907848,0.000907848
25,1712.32,1.09431,0.68182,1.03615,0.72536,0.78495,0.76019,0.43551,1.4175,0.90917,1.29569,0.000874842,0.000874842,0.000874842
26,1800.14,1.05995,0.6531,1.02071,0.63456,0.79884,0.73877,0.41579,1.41908,0.91104,1.29511,0.000841835,0.000841835,0.000841835
27,1888.98,1.0398,0.65505,1.01535,0.73403,0.73686,0.73408,0.42039,1.38009,0.84896,1.27212,0.000808828,0.000808828,0.000808828
28,1980.42,1.04139,0.63006,1.0012,0.68219,0.79097,0.75695,0.42837,1.36713,0.90251,1.26784,0.000775822,0.000775822,0.000775822
29,2078.62,1.0211,0.63114,1.00578,0.73113,0.74449,0.75692,0.425,1.50365,0.89293,1.39608,0.000742815,0.000742815,0.000742815
30,2184.05,0.98861,0.60415,1.00281,0.70296,0.75237,0.76292,0.43957,1.6556,0.93829,1.58659,0.000709809,0.000709809,0.000709809
31,2309.5,0.99834,0.59844,1.00335,0.74339,0.74048,0.76028,0.43218,1.64857,0.96369,1.55321,0.000676802,0.000676802,0.000676802
32,2411.45,0.96045,0.5687,0.98174,0.70015,0.78372,0.75221,0.424,1.48307,0.89238,1.38164,0.000643795,0.000643795,0.000643795
33,2515.33,0.9584,0.57027,0.97754,0.70575,0.74631,0.73571,0.43413,1.46012,0.93137,1.36027,0.000610789,0.000610789,0.000610789
34,2620.06,0.94346,0.56193,0.9775,0.62273,0.73704,0.70433,0.40619,1.4789,1.00424,1.35344,0.000577782,0.000577782,0.000577782
35,2715.43,0.94055,0.56821,0.98029,0.68696,0.78576,0.76321,0.44714,1.57516,1.04245,1.4958,0.000544776,0.000544776,0.000544776
36,2811.11,0.91893,0.53439,0.96756,0.6975,0.75645,0.74569,0.43877,1.47415,0.98856,1.39615,0.000511769,0.000511769,0.000511769
37,2905.73,0.91109,0.53334,0.96513,0.68446,0.7596,0.74685,0.43618,1.47621,1.01875,1.42391,0.000478762,0.000478762,0.000478762
38,3012.27,0.85944,0.51,0.94974,0.69156,0.7561,0.76569,0.44321,1.51349,1.04468,1.42213,0.000445756,0.000445756,0.000445756
39,3119.84,0.86371,0.50646,0.94879,0.75185,0.71022,0.72806,0.41169,1.55277,0.95593,1.49079,0.000412749,0.000412749,0.000412749
40,3231.57,0.85203,0.50281,0.94894,0.70165,0.75152,0.73284,0.42861,1.49092,0.91018,1.35387,0.000379743,0.000379743,0.000379743
41,3340,0.79528,0.41451,0.93184,0.7047,0.7641,0.74698,0.4304,1.47686,0.92306,1.38716,0.000346736,0.000346736,0.000346736
42,3441.46,0.7645,0.40097,0.91095,0.78778,0.69637,0.74671,0.43508,1.52559,0.90825,1.45229,0.000313729,0.000313729,0.000313729
43,3536.25,0.75246,0.39815,0.92138,0.75867,0.7114,0.75034,0.42842,1.60349,0.9336,1.53098,0.000280723,0.000280723,0.000280723
44,3629.79,0.7215,0.37793,0.90644,0.73124,0.73165,0.74295,0.43639,1.48007,0.9202,1.38319,0.000247716,0.000247716,0.000247716
45,3730.11,0.70981,0.37107,0.90046,0.82294,0.66792,0.74523,0.4376,1.51098,0.94335,1.46871,0.00021471,0.00021471,0.00021471
46,3828.27,0.70124,0.35993,0.88987,0.78767,0.69774,0.75599,0.43837,1.50502,0.91057,1.45626,0.000181703,0.000181703,0.000181703
47,3925.55,0.68767,0.35396,0.89479,0.73458,0.76142,0.75764,0.43311,1.55385,0.90935,1.50603,0.000148696,0.000148696,0.000148696
48,4018.95,0.67351,0.34651,0.88559,0.78983,0.71759,0.75766,0.43887,1.51853,0.89932,1.45015,0.00011569,0.00011569,0.00011569
49,4115.62,0.65853,0.34164,0.87427,0.78082,0.74192,0.75839,0.43671,1.5117,0.90812,1.45704,8.26832e-05,8.26832e-05,8.26832e-05
50,4217.03,0.6445,0.33932,0.87321,0.77757,0.73059,0.75642,0.44077,1.48444,0.90299,1.41882,4.96766e-05,4.96766e-05,4.96766e-05
